Time,ransomware_IRP,benign_IRP,ransomware_FSF,benign_FSF,ransomware_FIO,benign_FIO
5,11.861410966780834,12.500576397328885,10.940614432350252,9.135185698375423,10.249627194559478,10.392006215779578
10,11.308198777303554,12.141859404816522,10.383936439643403,8.267705664762426,9.427465850964829,10.20625526240595
15,10.90522176622775,12.106213635466954,9.841718526138497,8.375629627094451,8.72891172506098,10.403262340115035
20,10.904560512024897,12.109748952294582,9.750860711077213,8.433376705323127,8.818038250394299,10.439951682857124
25,10.823252243221784,12.09186757631095,9.493110400066943,8.474703139795285,8.735846677457582,10.404959567375004
30,11.816003410399965,12.212804932743552,10.393293809078044,8.448485993406447,9.712992685053011,10.644758008277801
35,12.006340398476425,12.195365528386485,10.526319559181047,8.43076346341785,9.926715678655334,10.813820572436036
40,9.706864211031315,12.09607361077923,9.080003870248179,8.376090350438238,7.086737934510577,10.06496844345823
45,9.552226498441476,11.855535966693564,9.053452616439039,8.253227645581772,7.095893221097532,9.924808634239811
50,9.357380114625498,8.407824654360873,8.824383730256061,6.504288173536645,7.065613363597717,8.505525386548555
55,11.637370703233493,10.312114323981872,9.994789710942914,7.510977752014095,9.5253700659462,10.589685644007867
60,11.963542380415774,10.580403719985656,10.322263674703965,6.887552571664617,9.96326475657199,10.761449774510156
65,11.981121210979447,10.598757478477053,10.349966636734907,7.081708586105575,9.973946016184689,10.765596612146298
70,11.987493660713543,10.572137101495674,10.36637215151178,6.726233402358747,9.98271454298743,10.79534213892941
75,12.414756152502182,8.9142228207033,11.307953309256124,5.662960480135946,10.988862614422217,8.874447967219979
80,12.655618432873514,6.897704943128636,11.550047824271978,5.111987788356544,11.30226616014452,6.687108607866515
85,10.734481799788199,11.384375927984149,10.31433813292063,8.820256365906321,8.9300972286214,11.296260879753728
90,9.034795799461252,9.38915578944085,8.345217926676428,6.068425588244111,0.0,9.562123369834488
